Year,Court Region Code,Court Region,Court Level,Court Division,Court Class,Count
2014,1,Vancouver Island,Provincial,Criminal,Adult,12111
2014,1,Vancouver Island,Provincial,Criminal,Tickets,6152
2014,1,Vancouver Island,Provincial,Criminal,Youth,803
2014,2,Vancouver Coastal,Provincial,Criminal,Adult,11809
2014,2,Vancouver Coastal,Provincial,Criminal,Youth,486
2014,2,Vancouver Coastal,Provincial,Criminal,Tickets,43280
2014,3,Fraser,Provincial,Criminal,Adult,15942
2014,3,Fraser,Provincial,Criminal,Tickets,33316
2014,3,Fraser,Provincial,Criminal,Youth,1057
2014,4,Interior,Provincial,Criminal,Adult,9827
2014,4,Interior,Provincial,Criminal,Tickets,7428
2014,4,Interior,Provincial,Criminal,Youth,583
2014,5,North,Provincial,Criminal,Adult,8955
2014,5,North,Provincial,Criminal,Youth,676
2014,5,North,Provincial,Criminal,Tickets,3101
2015,1,Vancouver Island,Provincial,Criminal,Adult,12982
2015,1,Vancouver Island,Provincial,Criminal,Tickets,6297
2015,1,Vancouver Island,Provincial,Criminal,Youth,862
2015,2,Vancouver Coastal,Provincial,Criminal,Adult,11521
2015,2,Vancouver Coastal,Provincial,Criminal,Youth,377
2015,2,Vancouver Coastal,Provincial,Criminal,Tickets,31277
2015,3,Fraser,Provincial,Criminal,Adult,17234
2015,3,Fraser,Provincial,Criminal,Tickets,39081
2015,3,Fraser,Provincial,Criminal,Youth,1103
2015,4,Interior,Provincial,Criminal,Adult,9945
2015,4,Interior,Provincial,Criminal,Tickets,6660
2015,4,Interior,Provincial,Criminal,Youth,460
2015,5,North,Provincial,Criminal,Tickets,3155
2015,5,North,Provincial,Criminal,Adult,9103
2015,5,North,Provincial,Criminal,Youth,628
2016,1,Vancouver Island,Provincial,Criminal,Adult,13040
2016,1,Vancouver Island,Provincial,Criminal,Tickets,6692
2016,1,Vancouver Island,Provincial,Criminal,Youth,758
2016,2,Vancouver Coastal,Provincial,Criminal,Adult,12440
2016,2,Vancouver Coastal,Provincial,Criminal,Youth,274
2016,2,Vancouver Coastal,Provincial,Criminal,Tickets,26378
2016,3,Fraser,Provincial,Criminal,Adult,18293
2016,3,Fraser,Provincial,Criminal,Tickets,46750
2016,3,Fraser,Provincial,Criminal,Youth,923
2016,4,Interior,Provincial,Criminal,Adult,10933
2016,4,Interior,Provincial,Criminal,Tickets,7085
2016,4,Interior,Provincial,Criminal,Youth,591
2016,5,North,Provincial,Criminal,Adult,9828
2016,5,North,Provincial,Criminal,Tickets,3912
2016,5,North,Provincial,Criminal,Youth,559
2017,1,Vancouver Island,Provincial,Criminal,Adult,12912
2017,1,Vancouver Island,Provincial,Criminal,Tickets,5885
2017,1,Vancouver Island,Provincial,Criminal,Youth,757
2017,2,Vancouver Coastal,Provincial,Criminal,Adult,11377
2017,2,Vancouver Coastal,Provincial,Criminal,Youth,327
2017,2,Vancouver Coastal,Provincial,Criminal,Tickets,21759
2017,3,Fraser,Provincial,Criminal,Adult,18363
2017,3,Fraser,Provincial,Criminal,Tickets,41605
2017,3,Fraser,Provincial,Criminal,Youth,824
2017,4,Interior,Provincial,Criminal,Adult,11190
2017,4,Interior,Provincial,Criminal,Tickets,6866
2017,4,Interior,Provincial,Criminal,Youth,411
2017,5,North,Provincial,Criminal,Adult,9151
2017,5,North,Provincial,Criminal,Tickets,2905
2017,5,North,Provincial,Criminal,Youth,575
2018,1,Vancouver Island,Provincial,Criminal,Adult,12427
2018,1,Vancouver Island,Provincial,Criminal,Tickets,7367
2018,1,Vancouver Island,Provincial,Criminal,Youth,627
2018,2,Vancouver Coastal,Provincial,Criminal,Adult,10475
2018,2,Vancouver Coastal,Provincial,Criminal,Tickets,25640
2018,2,Vancouver Coastal,Provincial,Criminal,Youth,333
2018,3,Fraser,Provincial,Criminal,Adult,17678
2018,3,Fraser,Provincial,Criminal,Tickets,36690
2018,3,Fraser,Provincial,Criminal,Youth,695
2018,4,Interior,Provincial,Criminal,Adult,10943
2018,4,Interior,Provincial,Criminal,Tickets,7177
2018,4,Interior,Provincial,Criminal,Youth,404
2018,5,North,Provincial,Criminal,Adult,8997
2018,5,North,Provincial,Criminal,Tickets,3345
2018,5,North,Provincial,Criminal,Youth,415
