playerID,yearID,stint,teamID,lgID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
abadfe01,2016,1,MIN,AL,39,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
abadfe01,2016,2,BOS,AL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreujo02,2016,1,CHA,AL,159,624,67,183,32,1,25,100,0,2,47,125,7,15,0,9,21
achteaj01,2016,1,LAA,AL,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ackledu01,2016,1,NYA,AL,28,61,6,9,0,0,0,4,0,0,8,9,0,0,0,1,0
adamecr01,2016,1,COL,NL,121,225,25,49,7,3,2,17,2,3,24,47,0,4,3,0,5
adamsau01,2016,1,CLE,AL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsma01,2016,1,SLN,NL,118,297,37,74,18,0,16,54,0,1,25,81,1,2,0,3,5
adlemti01,2016,1,CIN,NL,13,21,2,4,2,0,0,3,0,0,0,11,0,0,2,0,0
adriaeh01,2016,1,SFN,NL,40,63,3,16,2,0,2,7,0,1,2,13,0,2,4,0,0
aguilje01,2016,1,CLE,AL,9,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ahmedni01,2016,1,ARI,NL,90,284,26,62,9,1,4,20,5,2,15,58,3,4,2,3,9
alberan01,2016,1,MIN,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alberha01,2016,1,TEX,AL,35,56,2,8,1,0,0,5,1,0,0,17,0,0,2,0,1
alberma01,2016,1,CHA,AL,58,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
albural01,2016,1,LAA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcanar01,2016,1,OAK,AL,16,19,2,4,1,0,0,2,3,3,0,8,0,0,0,0,1
alcanra01,2016,1,OAK,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexasc01,2016,1,KCA,AL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alfarjo01,2016,1,PHI,NL,6,16,0,2,0,0,0,0,0,0,1,8,1,0,0,0,0
allenco01,2016,1,CLE,AL,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almonab01,2016,1,CLE,AL,67,182,24,48,20,1,1,22,8,0,8,42,1,1,0,3,5
almoral01,2016,1,CHN,NL,47,112,14,31,9,1,3,14,0,0,5,20,0,0,0,0,5
alonsyo01,2016,1,OAK,AL,156,482,52,122,34,0,7,56,3,1,45,74,1,1,0,4,15
altavda01,2016,1,SEA,AL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altheaa01,2016,1,PHI,NL,57,198,23,39,6,0,4,22,7,2,23,69,2,6,0,0,4
altuvjo01,2016,1,HOU,AL,161,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15
alvarda01,2016,1,ATL,NL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
