playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,deathDate,birthDate
aardsda01,1981,12,27,USA,CO,Denver,NA,NA,NA,NA,NA,NA,David,Aardsma,David Allan,215,75,R,R,2004-04-06,2015-08-23,aardd001,aardsda01,NA,1981-12-27
abadan01,1972,8,25,USA,FL,Palm Beach,NA,NA,NA,NA,NA,NA,Andy,Abad,Fausto Andres,184,73,L,L,2001-09-10,2006-04-13,abada001,abadan01,NA,1972-08-25
abadfe01,1985,12,17,D.R.,La Romana,La Romana,NA,NA,NA,NA,NA,NA,Fernando,Abad,Fernando Antonio,220,73,L,L,2010-07-28,2017-10-01,abadf001,abadfe01,NA,1985-12-17
abbotje01,1972,8,17,USA,GA,Atlanta,NA,NA,NA,NA,NA,NA,Jeff,Abbott,Jeffrey William,190,74,R,L,1997-06-10,2001-09-29,abboj002,abbotje01,NA,1972-08-17
abbotku01,1969,6,2,USA,OH,Zanesville,NA,NA,NA,NA,NA,NA,Kurt,Abbott,Kurt Thomas,180,71,R,R,1993-09-07,2001-04-13,abbok002,abbotku01,NA,1969-06-02
abbotpa01,1967,9,15,USA,CA,Van Nuys,NA,NA,NA,NA,NA,NA,Paul,Abbott,Paul David,185,75,R,R,1990-08-21,2004-08-07,abbop001,abbotpa01,NA,1967-09-15
abercre01,1980,7,15,USA,GA,Columbus,NA,NA,NA,NA,NA,NA,Reggie,Abercrombie,Reginald Damascus,215,75,R,R,2006-04-04,2008-09-28,aberr001,abercre01,NA,1980-07-15
abernbr01,1977,9,23,USA,GA,Atlanta,NA,NA,NA,NA,NA,NA,Brent,Abernathy,Michael Brent,185,73,R,R,2001-06-25,2005-09-29,aberb001,abernbr01,NA,1977-09-23
abreubo01,1974,3,11,Venezuela,Aragua,Maracay,NA,NA,NA,NA,NA,NA,Bobby,Abreu,Bob Kelly,220,72,L,R,1996-09-01,2014-09-28,abreb001,abreubo01,NA,1974-03-11
abreujo02,1987,1,29,Cuba,Cienfuegos,Cienfuegos,NA,NA,NA,NA,NA,NA,Jose,Abreu,Jose Dariel,255,75,R,R,2014-03-31,2018-09-16,abrej003,abreujo02,NA,1987-01-29
abreuju01,1985,4,8,D.R.,Duarte,San Francisco de Macoris,NA,NA,NA,NA,NA,NA,Juan,Abreu,Juan de Dios,185,72,R,R,2011-08-29,2011-09-27,abrej002,abreuju01,NA,1985-04-08
abreuto01,1984,11,13,D.R.,Puerto Plata,Puerto Plata,NA,NA,NA,NA,NA,NA,Tony,Abreu,Etanislao Toni,200,70,B,R,2007-05-22,2014-07-28,abret001,abreuto01,NA,1984-11-13
abreuwi01,1977,4,5,D.R.,Sanchez Ramirez,Cotui,NA,NA,NA,NA,NA,NA,Winston,Abreu,Winston Leonardo,170,74,R,R,2006-08-06,2009-07-25,abrew001,abreuwi01,NA,1977-04-05
accarje01,1981,12,18,USA,AZ,Phoenix,NA,NA,NA,NA,NA,NA,Jeremy,Accardo,Jeremiah Lee,195,72,R,R,2005-05-04,2012-09-27,accaj001,accarje01,NA,1981-12-18
aceveal01,1982,12,8,Mexico,Sonora,San Luis Rio Colorado,NA,NA,NA,NA,NA,NA,Alfredo,Aceves,Alfredo,205,74,R,R,2008-08-31,2014-06-02,aceva001,aceveal01,NA,1982-12-08
acevejo01,1977,12,18,D.R.,Distrito Nacional,Santo Domingo,NA,NA,NA,NA,NA,NA,Jose,Acevedo,Jose Omar,185,72,R,R,2001-06-19,2005-09-29,acevj002,acevejo01,NA,1977-12-18
aceveju01,1970,5,5,Mexico,Chihuahua,Ciudad Juarez,NA,NA,NA,NA,NA,NA,Juan,Acevedo,Juan Carlos,245,74,R,R,1995-04-30,2003-08-05,acevj001,aceveju01,NA,1970-05-05
achteaj01,1988,8,27,USA,OH,Toledo,NA,NA,NA,NA,NA,NA,A. J.,Achter,Adam Joseph,215,77,R,R,2014-09-03,2016-10-01,achta001,achteaj01,NA,1988-08-27
ackledu01,1988,2,26,USA,NC,Winston-Salem,NA,NA,NA,NA,NA,NA,Dustin,Ackley,Dustin Michael,205,73,L,R,2011-06-17,2016-05-29,ackld001,ackledu01,NA,1988-02-26
acostma01,1981,5,1,Panama,Colon,Colon,NA,NA,NA,NA,NA,NA,Manny,Acosta,Manuel Alcides,215,76,R,R,2007-08-12,2012-10-03,acosm001,acostma01,NA,1981-05-01
acunaro01,1997,12,18,Venezuela,Vargas,La Guaira,NA,NA,NA,NA,NA,NA,Ronald,Acuna,Ronald Jose,180,72,R,R,2018-04-25,2018-09-30,acunr001,acunaro01,NA,1997-12-18
adamecr01,1991,7,26,D.R.,Distrito Nacional,Santo Domingo,NA,NA,NA,NA,NA,NA,Cristhian,Adames,Cristhian Pascual,185,72,B,R,2014-07-29,2017-04-28,adamc001,adamecr01,NA,1991-07-26
adamewi01,1995,9,2,D.R.,Santiago,Santiago,NA,NA,NA,NA,NA,NA,Willy,Adames,Willy Rafael,200,72,R,R,2018-05-22,2018-09-30,adamw002,adamewi01,NA,1995-09-02
adamja01,1991,8,4,USA,KS,Overland Park,NA,NA,NA,NA,NA,NA,Jason,Adam,Jason Kendall,225,76,R,R,2018-05-05,2018-08-17,adamj002,adamja01,NA,1991-08-04
adamsau01,1986,8,19,USA,AL,Montgomery,NA,NA,NA,NA,NA,NA,Austin,Adams,Austin David,200,71,R,R,2014-07-12,2016-09-27,adama001,adamsau01,NA,1986-08-19
adamsau02,1991,5,5,USA,FL,Tampa,NA,NA,NA,NA,NA,NA,Austin,Adams,Austin Lance,225,75,R,R,2017-07-15,2018-04-28,adama002,adamsau02,NA,1991-05-05
adamsch01,1994,8,10,USA,AZ,Scottsdale,NA,NA,NA,NA,NA,NA,Chance,Adams,Chance,220,73,R,R,2018-08-04,2018-09-30,adamc002,adamsch01,NA,1994-08-10
adamsda02,1987,5,15,USA,FL,Margate,NA,NA,NA,NA,NA,NA,David,Adams,David Lee,205,74,R,R,2013-05-15,2013-09-29,adamd001,adamsda02,NA,1987-05-15
adamsla01,1989,11,13,USA,OK,Talihina,NA,NA,NA,NA,NA,NA,Lane,Adams,Lane Weston,220,76,R,R,2014-09-01,2018-09-30,adaml001,adamsla01,NA,1989-11-13
adamsma01,1988,8,31,USA,PA,Philipsburg,NA,NA,NA,NA,NA,NA,Matt,Adams,Matthew James,245,75,L,R,2012-05-20,2018-09-28,adamm002,adamsma01,NA,1988-08-31
adamsmi03,1978,7,29,USA,TX,Corpus Christi,NA,NA,NA,NA,NA,NA,Mike,Adams,Jon Michael,210,77,R,R,2004-05-18,2014-09-18,adamm001,adamsmi03,NA,1978-07-29
adamsru01,1980,8,30,USA,NC,Laurinburg,NA,NA,NA,NA,NA,NA,Russ,Adams,Russ Moore,205,72,L,R,2004-09-03,2009-06-30,adamr002,adamsru01,NA,1980-08-30
adamsry01,1987,4,21,USA,LA,New Orleans,NA,NA,NA,NA,NA,NA,Ryan,Adams,Ryan Scott,185,71,R,R,2011-05-20,2011-09-19,adamr003,adamsry01,NA,1987-04-21
adamste01,1973,3,6,USA,AL,Mobile,NA,NA,NA,NA,NA,NA,Terry,Adams,Terry Wayne,180,75,R,R,1995-08-10,2005-05-23,adamt001,adamste01,NA,1973-03-06
adcocna01,1988,2,25,USA,KY,Elizabethtown,NA,NA,NA,NA,NA,NA,Nathan,Adcock,Nathan Masler,235,76,R,R,2011-03-31,2015-07-26,adcon001,adcocna01,NA,1988-02-25
adducji02,1985,5,15,CAN,BC,Burnaby,NA,NA,NA,NA,NA,NA,Jim,Adduci,Jim Charles,210,74,L,L,2013-09-01,2018-09-30,adduj002,adducji02,NA,1985-05-15
adenhni01,1986,8,24,USA,MD,Silver Spring,2009,4,9,USA,CA,Orange,Nick,Adenhart,Nicholas James,185,75,R,R,2008-05-01,2009-04-08,adenn001,adenhni01,2009-04-09,1986-08-24
adkinjo01,1977,8,30,USA,WV,Huntington,NA,NA,NA,NA,NA,NA,Jon,Adkins,Jonathan Scott,200,72,L,R,2003-08-14,2008-09-27,adkij001,adkinjo01,NA,1977-08-30
adlemti01,1987,11,13,USA,NY,Staten Island,NA,NA,NA,NA,NA,NA,Tim,Adleman,Timothy Max,225,77,R,R,2016-05-01,2017-09-19,adlet001,adlemti01,NA,1987-11-13
adriaeh01,1989,8,21,Venezuela,Miranda,Guarenas,NA,NA,NA,NA,NA,NA,Ehire,Adrianza,Ehire Enrique,170,73,B,R,2013-09-08,2018-09-28,adrie001,adriaeh01,NA,1989-08-21
affelje01,1979,6,6,USA,AZ,Phoenix,NA,NA,NA,NA,NA,NA,Jeremy,Affeldt,Jeremy David,225,76,L,L,2002-04-06,2015-10-04,affej001,affelje01,NA,1979-06-06
agbaybe01,1971,12,28,USA,HI,Honolulu,NA,NA,NA,NA,NA,NA,Benny,Agbayani,Benny Peter,225,72,R,R,1998-06-17,2002-09-29,agbab001,agbaybe01,NA,1971-12-28
aguilch01,1979,2,23,USA,CA,Redwood City,NA,NA,NA,NA,NA,NA,Chris,Aguila,Christopher Louis,200,71,R,R,2004-06-28,2008-07-10,aguic001,aguilch01,NA,1979-02-23
aguilje01,1990,6,30,Venezuela,Aragua,Maracay,NA,NA,NA,NA,NA,NA,Jesus,Aguilar,Jesus Alexander,250,75,R,R,2014-05-15,2018-10-01,aguij001,aguilje01,NA,1990-06-30
aguilri01,1961,12,31,USA,CA,San Gabriel,NA,NA,NA,NA,NA,NA,Rick,Aguilera,Richard Warren,195,76,R,R,1985-06-12,2000-09-06,aguir001,aguilri01,NA,1961-12-31
ahmedni01,1990,3,15,USA,MA,Springfield,NA,NA,NA,NA,NA,NA,Nick,Ahmed,Nicholas Mark,195,74,R,R,2014-06-29,2018-09-30,ahmen001,ahmedni01,NA,1990-03-15
ainswku01,1978,9,9,USA,LA,Baton Rouge,NA,NA,NA,NA,NA,NA,Kurt,Ainsworth,Kurt Harold,192,75,R,R,2001-09-05,2004-05-14,ainsk001,ainswku01,NA,1978-09-09
albaljo01,1982,10,30,P.R.,NA,San Juan,NA,NA,NA,NA,NA,NA,Jonathan,Albaladejo,Jonathan,270,77,R,R,2007-09-05,2012-07-20,albaj001,albaljo01,NA,1982-10-30
alberan01,1985,10,6,CAN,SK,North Battleford,NA,NA,NA,NA,NA,NA,Andrew,Albers,Andrew William,200,73,R,L,2013-08-06,2017-09-30,albea001,alberan01,NA,1985-10-06
alberha01,1992,10,17,D.R.,Duarte,San Francisco de Macoris,NA,NA,NA,NA,NA,NA,Hanser,Alberto,Hanser Joel,215,71,R,R,2015-05-29,2018-09-30,albeh001,alberha01,NA,1992-10-17
alberma01,1983,1,20,USA,TX,Houston,NA,NA,NA,NA,NA,NA,Matt,Albers,Matthew James,225,73,L,R,2006-07-25,2018-09-23,albem001,alberma01,NA,1983-01-20
albieoz01,1997,1,7,Curacao,NA,Willemstad,NA,NA,NA,NA,NA,NA,Ozzie,Albies,Ozhaino Jurdy Jiandro,165,68,B,R,2017-08-01,2018-09-30,albio001,albieoz01,NA,1997-01-07
albural01,1986,6,10,D.R.,San Pedro de Macoris,San Pedro de Macoris,NA,NA,NA,NA,NA,NA,Al,Alburquerque,Alberto Jose,195,72,R,R,2011-04-15,2017-09-30,albua001,albural01,NA,1986-06-10
