year_num,tm,attend_g,est_payroll,w,l
1999,ANA,27816,55633166,70,92
1999,ARI,37280,68703999,100,62
1999,ATL,40554,73341000,103,59
1999,BAL,42385,80805863,78,84
1999,BOS,30200,64097500,94,68
1999,CHC,34739,62343000,67,95
1999,CHW,16529,25820000,75,86
1999,CIN,25137,33962761,96,67
1999,CLE,42820,73679962,97,65
1999,COL,42976,61935837,72,90
1999,DET,25018,36689666,69,92
1999,FLA,17118,21085000,64,98
1999,HOU,33000,55114000,97,65
1999,KCR,18826,26660000,64,97
1999,LAD,38214,81062453,77,85
1999,MIL,21272,43377395,74,87
1999,MIN,14850,22107500,63,97
1999,MON,9547,17903000,68,94
1999,NYM,33650,68852092,97,66
1999,NYY,40651,86934359,98,64
1999,OAK,17711,24831833,87,75
1999,PHI,22535,31897500,77,85
1999,PIT,20223,25047666,78,83
1999,SDP,31155,49768179,74,88
1999,SEA,36004,54125003,79,83
1999,SFG,25659,46798057,86,76
1999,STL,40317,49988195,75,86
1999,TBD,19294,38870000,69,93
1999,TEX,34216,76709931,95,67
1999,TOR,26709,45444333,84,78
2000,ANA,25518,52664167,82,80
2000,ARI,36324,81027833,85,77
2000,ATL,39930,84737836,95,67
2000,BAL,40704,82347435,74,88
2000,BOS,31925,79975333,85,77
2000,CHC,34438,60539333,65,97
2000,CHW,24047,31743500,95,67
2000,CIN,31431,46867200,85,77
2000,CLE,42670,76972271,90,72
2000,COL,40681,61111190,82,80
2000,DET,30106,59645167,79,83
2000,FLA,15041,20347000,79,82
2000,HOU,37730,51289111,72,90
2000,KCR,19319,24903000,77,85
2000,LAD,35559,88124286,86,76
2000,MIL,19427,37305333,73,89
2000,MIN,12355,17529500,69,93
2000,MON,11435,32994333,67,95
2000,NYM,34821,79509776,94,68
2000,NYY,38193,93113260,87,74
2000,OAK,19799,33172333,91,70
2000,PHI,19911,47513000,65,97
2000,PIT,21591,31328334,69,93
2000,SDP,29043,55021000,76,86
2000,SEA,35983,60495000,91,71
2000,SFG,40973,53737826,97,65
2000,STL,41191,61653863,95,67
2000,TBD,18121,63265129,69,92
2000,TEX,31956,70795921,71,91
2000,TOR,21058,46038332,83,79
2001,ANA,24703,47735167,75,87
2001,ARI,33783,85082999,92,70
2001,ATL,34858,91936166,88,74
2001,BAL,38686,74279540,63,98
2001,BOS,32412,110035833,82,79
2001,CHC,34314,64715833,88,74
2001,CHW,21805,65653667,83,79
2001,CIN,23207,48986000,66,96
2001,CLE,39694,93360001,91,71
2001,COL,39097,71541334,73,89
2001,DET,23720,53416167,66,96
2001,FLA,15765,35762500,76,86
2001,HOU,35855,60612667,93,69
2001,KCR,18968,35422500,65,97
2001,LAD,37249,109105953,86,76
2001,MIL,34704,43886833,68,94
2001,MIN,22011,24130000,85,77
2001,MON,7935,35159500,68,94
2001,NYM,32819,93174428,82,80
2001,NYY,40811,112787143,95,65
2001,OAK,26337,33810750,102,60
2001,PHI,22001,41663833,86,76
2001,PIT,30430,57760833,62,100
2001,SDP,29360,39182833,79,83
2001,SEA,43300,74720834,116,46
2001,SFG,40888,63280167,90,72
2001,STL,37922,79373333,93,69
2001,TBD,16029,56980000,62,100
2001,TEX,34525,88633500,73,89
2001,TOR,23359,76895999,80,82
2002,ANA,28464,61721667,99,63
2002,ARI,39494,102819999,98,64
2002,ATL,32142,93470367,101,59
2002,BAL,33117,64493487,67,95
2002,BOS,32727,108366060,93,69
2002,CHC,33248,75690833,67,95
2002,CHW,20703,57052833,81,81
2002,CIN,22911,45050390,78,84
2002,CLE,32308,78909449,74,88
2002,COL,33800,56851043,73,89
2002,DET,18795,55048000,55,106
2002,FLA,10038,41979917,79,83
2002,HOU,31078,63448417,84,78
2002,KCR,16334,47257000,62,100
2002,LAD,38657,94850953,92,70
2002,MIL,24311,50287833,56,106
2002,MIN,23759,40425000,94,67
2002,MON,10025,38670500,83,79
2002,NYM,34628,94633593,75,86
2002,NYY,43323,125928583,103,58
2002,OAK,26788,40004167,103,59
2002,PHI,20231,57954999,80,81
2002,PIT,22312,42323599,72,89
2002,SDP,27415,41425000,66,96
2002,SEA,43740,80282668,93,69
2002,SFG,40163,78299835,95,66
2002,STL,37182,74660875,97,65
2002,TBD,13157,34380000,55,106
2002,TEX,29042,105726122,72,90
