rank,population_centre,size_group,population_2021,population_2016,land_area_km_sq,population_density_2021
1,Vancouver,Large urban,2426160,2268864,911.64,2661.3
2,Victoria,Large urban,363222,337235,222.71,1630.9
3,Kelowna,Large urban,181380,160095,168.92,1073.8
4,Abbotsford,Large urban,132300,122163,71.2,1858.1
5,White Rock,Large urban,109167,93811,54.23,2013.0
6,Nanaimo,Large urban,106079,96415,86.76,1222.7
7,Kamloops,Medium,92442,85702,74.35,1243.3
8,Chilliwack,Medium,81622,73171,56.02,1457.0
9,Prince George,Medium,67339,66315,73.9,911.2
10,Vernon,Medium,51896,48425,51.16,1014.4
11,Courtenay,Medium,48917,45314,56.58,864.6
12,Campbell River,Medium,38108,35440,33,1154.8
13,Penticton,Medium,36893,33899,25.84,1427.7
14,Mission,Medium,36193,33713,27.23,1329.2
15,Parksville,Small,27330,25364,27.45,995.6
16,Duncan,Small,24358,23559,22.75,1070.7
17,Tsawwassen,Small,23940,21845,14.95,1601.3
18,Ladner,Small,23016,22193,7.38,3118.7
19,Squamish,Small,22221,18902,22.11,1005.0
20,Port Alberni,Small,21711,20910,28.49,762.1
21,Fort St. John,Small,21123,20026,14.89,1418.6
22,Cranbrook,Small,20008,19641,16.32,1226.0
23,Salmon Arm,Small,16065,14948,20.99,765.4
24,Terrace,Small,14633,14327,22.19,659.4
25,Powell River,Small,13116,12389,17.37,755.1
26,Aldergrove,Small,13105,12126,7.03,1864.2
27,Trail - Fruitvale,Small,12863,12736,21.65,594.1
28,Duck Lake,Small,12725,10085,24.93,510.4
29,Quesnel,Small,12110,12196,25.23,480.0
30,Williams Lake,Small,11906,11702,27.69,430.0
31,Prince Rupert,Small,11814,11733,7.97,1482.3
32,Dawson Creek,Small,11706,11621,12.34,948.6
33,Sooke,Small,11583,9936,15.3,757.1
34,Nelson,Small,11198,10669,7.45,1503.1
35,Ladysmith,Small,11194,10637,13.85,808.2
36,Castlegar,Small,10029,9592,19.01,527.6
37,Whistler,Small,9974,8739,11.74,849.6
38,Summerland,Small,9860,9466,15.83,622.9
39,Gibsons,Small,9603,9199,14.11,680.6
40,Sechelt,Small,9434,8993,11.96,788.8
41,Revelstoke,Small,7709,7067,12.3,626.7
42,Shawnigan - Mill Bay,Small,7285,7129,14.87,489.9
43,Kitimat,Small,6727,6822,4.88,1378.5
44,Oliver,Small,5708,5437,5.67,1006.7
45,Fernie,Small,5519,4860,4.49,1229.2
46,Creston,Small,5459,5236,6.04,903.8
47,Armstrong,Small,5323,5114,5.22,1019.7
48,Smithers,Small,5316,5351,10.46,508.2
49,Merritt,Small,5248,5321,4.43,1184.7
50,Peachland,Small,5006,4698,9.83,509.3
51,Kimberley,Small,4908,4679,4.51,1088.2
52,Osoyoos,Small,4859,4537,4.24,1146.0
53,Aldergrove East,Small,4496,3491,2.55,1763.1
54,Hope,Small,4434,4197,5.48,809.1
