chain,region,start_date,store.id
A&B Sound,west,2019-01-01,X001
A&B Sound,west,2019-01-01,X002
A&B Sound,west,2019-01-01,X003
A&B Sound,west,2019-01-01,X004
A&B Sound,west,2019-01-01,X005
A&B Sound,north,2019-01-01,X006
A&A Records,south,2019-01-01,X007
A&A Records,south,2019-01-01,X008
A&A Records,south,2019-01-01,X009
A&A Records,south,2019-01-01,X010
A&A Records,south,2019-01-01,X011
A&A Records,east,2019-01-01,X012
A&A Records,east,2019-01-01,X013
A&A Records,east,2019-01-01,X014
A&A Records,east,2019-01-01,X015
A&A Records,east,2019-01-01,X016
Sam the Record Man,west,2019-01-01,X017
Sam the Record Man,north,2019-01-01,X018
Sam the Record Man,north,2019-01-01,X019
Sam the Record Man,south,2019-01-01,X020
Sam the Record Man,south,2019-01-01,X021
Sam the Record Man,south,2019-01-01,X022
Sam the Record Man,south,2019-01-01,X023
Sam the Record Man,south,2019-01-01,X024
Sam the Record Man,south,2019-01-01,X025
Sam the Record Man,south,2019-01-01,X026
Sam the Record Man,south,2019-01-01,X027
Sam the Record Man,south,2019-01-01,X028
Sam the Record Man,south,2019-01-01,X029
Sam the Record Man,east,2019-01-01,X030
Sam the Record Man,east,2019-01-01,X031
Sam the Record Man,east,2019-01-01,X032
Sam the Record Man,east,2019-01-01,X033
Sam the Record Man,east,2019-01-01,X034
Kelly's Stereo Mart,west,2019-01-01,X035
Kelly's Stereo Mart,west,2019-01-01,X036
Kelly's Stereo Mart,east,2019-01-01,X037
Kelly's Stereo Mart,east,2019-01-01,X038
Kelly's Stereo Mart,north,2019-01-01,X039
Kelly's Stereo Mart,north,2019-01-01,X040
Kelly's Stereo Mart,south,2019-01-01,X041
Kelly's Stereo Mart,south,2019-01-01,X042
Kelly's Stereo Mart,south,2019-01-01,X043
Kelly's Stereo Mart,south,2019-01-01,X044
Kelly's Stereo Mart,south,2019-01-01,X045
