REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GeoUID,Hierarchy for GEO,Classification Code for Labour force characteristics,Hierarchy for Labour force characteristics,Classification Code for Statistics,Hierarchy for Statistics,Classification Code for Data type,Hierarchy for Data type,val_norm,Date,Labour force characteristics,Statistics,Data type
2006-03,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,53.4,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,53400,2006-03-01,Unemployment,Estimate,Seasonally adjusted
2006-03,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.5,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.045,2006-03-01,Unemployment rate,Estimate,Seasonally adjusted
2006-04,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,47.3,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,47300,2006-04-01,Unemployment,Estimate,Seasonally adjusted
2006-04,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.04,2006-04-01,Unemployment rate,Estimate,Seasonally adjusted
2006-05,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,49,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,49000,2006-05-01,Unemployment,Estimate,Seasonally adjusted
2006-05,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.1,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.040999999999999995,2006-05-01,Unemployment rate,Estimate,Seasonally adjusted
2006-06,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,47.5,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,47500,2006-06-01,Unemployment,Estimate,Seasonally adjusted
2006-06,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.04,2006-06-01,Unemployment rate,Estimate,Seasonally adjusted
2006-07,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,50.7,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,50700,2006-07-01,Unemployment,Estimate,Seasonally adjusted
2006-07,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.2,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.042,2006-07-01,Unemployment rate,Estimate,Seasonally adjusted
2006-08,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,50.5,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,50500,2006-08-01,Unemployment,Estimate,Seasonally adjusted
2006-08,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.2,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.042,2006-08-01,Unemployment rate,Estimate,Seasonally adjusted
2006-09,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,54.1,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,54100,2006-09-01,Unemployment,Estimate,Seasonally adjusted
2006-09,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.4,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.044000000000000004,2006-09-01,Unemployment rate,Estimate,Seasonally adjusted
2006-10,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,48.2,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,48200,2006-10-01,Unemployment,Estimate,Seasonally adjusted
2006-10,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.04,2006-10-01,Unemployment rate,Estimate,Seasonally adjusted
2006-11,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,54.9,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,54900,2006-11-01,Unemployment,Estimate,Seasonally adjusted
2006-11,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.6,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.046,2006-11-01,Unemployment rate,Estimate,Seasonally adjusted
2006-12,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,58.7,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,58700,2006-12-01,Unemployment,Estimate,Seasonally adjusted
2006-12,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.8,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.048,2006-12-01,Unemployment rate,Estimate,Seasonally adjusted
2007-01,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,49.4,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,49400,2007-01-01,Unemployment,Estimate,Seasonally adjusted
2007-01,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.04,2007-01-01,Unemployment rate,Estimate,Seasonally adjusted
2007-02,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,42.6,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,42600,2007-02-01,Unemployment,Estimate,Seasonally adjusted
2007-02,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,3.5,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.035,2007-02-01,Unemployment rate,Estimate,Seasonally adjusted
2007-03,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,42.4,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,42400,2007-03-01,Unemployment,Estimate,Seasonally adjusted
2007-03,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,3.5,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.035,2007-03-01,Unemployment rate,Estimate,Seasonally adjusted
2007-04,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,53.7,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,53700,2007-04-01,Unemployment,Estimate,Seasonally adjusted
2007-04,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.4,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.044000000000000004,2007-04-01,Unemployment rate,Estimate,Seasonally adjusted
2007-05,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,52.9,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,52900,2007-05-01,Unemployment,Estimate,Seasonally adjusted
2007-05,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.3,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.043,2007-05-01,Unemployment rate,Estimate,Seasonally adjusted
2007-06,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,50.3,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,50300,2007-06-01,Unemployment,Estimate,Seasonally adjusted
2007-06,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.1,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.040999999999999995,2007-06-01,Unemployment rate,Estimate,Seasonally adjusted
2007-07,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,49.1,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,49100,2007-07-01,Unemployment,Estimate,Seasonally adjusted
2007-07,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.04,2007-07-01,Unemployment rate,Estimate,Seasonally adjusted
2007-08,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,46.2,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,46200,2007-08-01,Unemployment,Estimate,Seasonally adjusted
2007-08,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,3.8,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.038,2007-08-01,Unemployment rate,Estimate,Seasonally adjusted
