country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,380000,,,,,394000,,,,,410000,,,,,435000,,,,,466000,,,,,511000,,,,,516000,,,,,430000,,,,,444000,,,,,640000,,,,,734000,,,,,908000,,,,,1110000,,,,,1350000,,,,,1630000,,,,,1960000,,,,,2370000,,,,,2900000,,,,,3600000,,,,,4470000,,,,,5470000,,,,,6700000,,,,,8300000,,,,,10200000,,,,,12100000,,,,,13800000,,,,,15300000,,,,,16500000,,,,,17600000,,,,,18600000,,,,,19300000
Albania,98900,,,,,102000,,,,,116000,,,,,128000,,,,,145000,,,,,166000,,,,,185000,,,,,207000,,,,,271000,,,,,297000,,,,,329000,,,,,379000,,,,,441000,,,,,521000,,,,,622000,,,,,718000,,,,,781000,,,,,825000,,,,,857000,,,,,892000,,,,,909000,,,,,936000,,,,,980000,,,,,972000,,,,,928000,,,,,895000,,,,,858000,,,,,822000,,,,,786000,,,,,747000,,,,,708000
Algeria,456000,,,,,498000,,,,,609000,,,,,684000,,,,,788000,,,,,866000,,,,,949000,,,,,1050000,,,,,1350000,,,,,1630000,,,,,2000000,,,,,2340000,,,,,2820000,,,,,3560000,,,,,4370000,,,,,5350000,,,,,6480000,,,,,7780000,,,,,9430000,,,,,11400000,,,,,13200000,,,,,14700000,,,,,15300000,,,,,15700000,,,,,16700000,,,,,18300000,,,,,19500000,,,,,20300000,,,,,20900000,,,,,21300000,,,,,21600000
Angola,204000,,,,,220000,,,,,238000,,,,,260000,,,,,286000,,,,,323000,,,,,372000,,,,,433000,,,,,507000,,,,,572000,,,,,635000,,,,,726000,,,,,842000,,,,,1090000,,,,,1360000,,,,,1680000,,,,,2050000,,,,,2520000,,,,,3110000,,,,,3800000,,,,,4640000,,,,,5610000,,,,,6780000,,,,,8260000,,,,,10100000,,,,,12200000,,,,,14500000,,,,,17000000,,,,,19800000,,,,,22800000,,,,,26000000
Antigua and Barbuda,2310,,,,,2480,,,,,3020,,,,,3380,,,,,3790,,,,,4650,,,,,5010,,,,,5070,,,,,7110,,,,,7370,,,,,7210,,,,,8310,,,,,8450,,,,,10100,,,,,12800,,,,,16500,,,,,21900,,,,,25600,,,,,27300,,,,,29400,,,,,31200,,,,,33100,,,,,35000,,,,,36800,,,,,38200,,,,,39600,,,,,40800,,,,,41800,,,,,42500,,,,,42900,,,,,43000
Argentina,1130000,,,,,1390000,,,,,1700000,,,,,2040000,,,,,2380000,,,,,2730000,,,,,3050000,,,,,3410000,,,,,4260000,,,,,4650000,,,,,5010000,,,,,5410000,,,,,5930000,,,,,6560000,,,,,7220000,,,,,7900000,,,,,8600000,,,,,9500000,,,,,10700000,,,,,11800000,,,,,13000000,,,,,14000000,,,,,15000000,,,,,15900000,,,,,16800000,,,,,17600000,,,,,18200000,,,,,18800000,,,,,19300000,,,,,19700000,,,,,20000000
Armenia,150000,,,,,142000,,,,,140000,,,,,156000,,,,,181000,,,,,206000,,,,,206000,,,,,231000,,,,,355000,,,,,404000,,,,,465000,,,,,429000,,,,,425000,,,,,462000,,,,,551000,,,,,626000,,,,,654000,,,,,671000,,,,,704000,,,,,769000,,,,,854000,,,,,899000,,,,,886000,,,,,862000,,,,,859000,,,,,861000,,,,,844000,,,,,813000,,,,,775000,,,,,740000,,,,,714000
Australia,923000,,,,,1040000,,,,,1140000,,,,,1240000,,,,,1370000,,,,,1570000,,,,,1750000,,,,,2020000,,,,,2620000,,,,,2850000,,,,,3140000,,,,,3530000,,,,,4190000,,,,,4850000,,,,,5550000,,,,,6300000,,,,,6950000,,,,,7610000,,,,,8110000,,,,,8750000,,,,,9400000,,,,,9970000,,,,,10400000,,,,,10800000,,,,,11400000,,,,,11900000,,,,,12500000,,,,,13100000,,,,,13600000,,,,,14100000,,,,,14600000
Austria,990000,,,,,1060000,,,,,1160000,,,,,1270000,,,,,1340000,,,,,1360000,,,,,1240000,,,,,1260000,,,,,1550000,,,,,1570000,,,,,1660000,,,,,1820000,,,,,1960000,,,,,2110000,,,,,2330000,,,,,2620000,,,,,2900000,,,,,3050000,,,,,3130000,,,,,3230000,,,,,3310000,,,,,3340000,,,,,3290000,,,,,3230000,,,,,3170000,,,,,3140000,,,,,3130000,,,,,3120000,,,,,3120000,,,,,3120000,,,,,3130000
Azerbaijan,267000,,,,,259000,,,,,283000,,,,,317000,,,,,346000,,,,,377000,,,,,366000,,,,,391000,,,,,575000,,,,,670000,,,,,754000,,,,,728000,,,,,733000,,,,,892000,,,,,1180000,,,,,1550000,,,,,1820000,,,,,2010000,,,,,2180000,,,,,2430000,,,,,2730000,,,,,2950000,,,,,2990000,,,,,2930000,,,,,2920000,,,,,3050000,,,,,3120000,,,,,3130000,,,,,3110000,,,,,3110000,,,,,3120000
